ID|Naslov|Avtor|Mentor|Ključne besede|Leto|Jezik|Organizacija|Kraj|Dolžina uvoda|Dolžina glavnega dela|Ogledi|Prenosi
24532|Fuzzy model for a computer simulation of bird flocking|Lebar Bajec, Iztok|Zimic, Nikolaj|računalniški modeli, računalniški programi, ptice, jate ptic, letenje v jatah, animacije, simulacije, vedenjsko modeliranje, računalništvo, disertacije|2005|Angleški jezik|FRI - Fakulteta za računalništvo in informatiko|Ljubljana|10|98|2255|358
15649|Artificial intelligence methods for discovery of relationships in genetic data|Juvan, Peter|Zupan, Blaž|artificial intelligence, abduction, qualitative reasoning, qualitative genetic network, bioinformatics, functional genomics, epistasis analysis, statistical inference, hypothesis testing|2005|Angleški jezik|FRI - Fakulteta za računalništvo in informatiko|Ljubljana|12|155|691|108
767|Vpliv nosilnih sistemov na interakcije koencima Q10 z modelnimi lipidnimi membranami|Ota, Ajda|Poklar Ulrih, Nataša|koencim Q10, modelne membrane, fluidnost, nosilci, elektronska paramagnetna resonanca, fluorescenčna spektroskopija, diferenčna dinamična kalorimetrija, DSC|2014|Slovenski jezik|BF - Biotehniška fakulteta||22|134|3409|467
767|Pozne stopnje biosinteze eritromicina pri aktinobakteriji Saccharopolyspora erythraea|Kirm, Benjamin|Petković, Hrvoje|aktinomicete, Saccharopolyspora erythraea, biosinteza, sekundarni metaboliti, poliketidi, post-PKS, eritromicin, bioinformatske metode, molekularna genetika, genska manipulacija, regulacija, fiziologija, disertacije|2014|Slovenski jezik|BF - Biotehniška fakulteta||0|0|2468|402
28353|Nove oblike razmerij in njihove posledice|Paska, Iva|Rener, Tanja||2014|Angleški jezik|FDV - Fakulteta za družbene vede|Ljubljana|0|0|1672|315
28354|Privatna vojaška podjetja - organizacija, doktrine in poslovanje|Papler, Peter|Žabkar, Anton|privatna vojaška podjetja, bojiščne funkcije, mednarodno pravo, oboroženi spopadi|2014|Slovenski jezik|FDV - Fakulteta za družbene vede|Ljubljana|0|0|3174|378
286|Vpliv izobraževanja in usposabljanja na podjetnikovo uspešnost|Hvalič Erzetič, Barbara|Drnovšek, Mateja|podjetništvo, podjetnik, uspeh, znanje, izobraževanje, izobrazba, raziskave, analiza|2014|Slovenski jezik|EF - Ekonomska fakulteta|Ljubljana|6|180|2494|347
2861|Naložbeni aspekt umetnin in mednarodni trgi umetnin|Ažman, Miha|Kumar, Andrej|trg kapitala, investicije, umetnost, vrednost, donos, tveganje, mednarodna menjava|2014|Slovenski jezik|EF - Ekonomska fakulteta|Ljubljana|4|139|2595|284
28611|Podjetniška radovednost|Jeraj, Mitja|Antončič, Boštjan|podjetništvo, podjetnik, uspeh, podjetje, rastoče podjetje, raziskave, komparacije, analiza|2014|Slovenski jezik|EF - Ekonomska fakulteta|Ljubljana|3|77|3019|417
28661|Vpliv vizualizacije informacij na kakovost informacij pri poslovnem odločanju|Zabukovec, Alenka|Jaklič, Jurij|poslovna informatika, informacije, vizualizacija, poslovno odločanje, kakovost, empirične raziskave|2014|Slovenski jezik|EF - Ekonomska fakulteta|Ljubljana|5|157|2862|358
29|Razvoj refleksivnega mišljenja in supervizija pedagoških delavcev|Rupar, Brigita|Kobolt, Alenka|pedagoški delavci, refleksivno mišljenje, refleksija, kompetence|2014|Slovenski jezik|PEF - Pedagoška fakulteta|Ljubljana|0|0|2586|535
29|"Narativne in dialoške razsežnosti ""Orff-Schulwerka"""|Zalar, Konstanca|Sicherl Kafol, Barbara|"""Orff-Schulwerk"", narativna paradigma, teorija dialoga, prvoosebno doživljanje, nebesedno sporočanje, pedagoški pogled, fenomenološke študije"|2014|Slovenski jezik|PEF - Pedagoška fakulteta|Ljubljana|19|229|2361|450
291|Interaktivni pristop poučevanja in učenja pri pouku likovne vzgoje|Tomljenović, Zlata|Tacol, Tonka|učitelj, metode, oblike, ustvarjalnost, veščine, učenci|2014|Slovenski jezik|PEF - Pedagoška fakulteta|Ljubljana|16|301|4110|458
291|Diferencialna diagnostika med otroki s specifičnimi motnjami branja in branjem otrok z motnjami v duševnem razvoju|Šimnic, Franci|Čuk, Miran|primanjkljaji, diferencialna diagnostika, osnovna šola, kognitivni vidiki, testi|2014|Slovenski jezik|PEF - Pedagoška fakulteta|Ljubljana|0|0|2858|469
29113|Improvizacija kot medij doseganja socialnointegracijskih ciljev socialne krepitve ranljivih skupin|Strelec, Irena|Razpotnik, Špela|improvizacija, gledališče, ranljivost|2014|Slovenski jezik|PEF - Pedagoška fakulteta|Ljubljana|5|297|1858|409
29156|Alternativne metode modeliranja relativnega preživetja|Jesenko, Manca|Stare, Janez|relativno preživetje, transformacijski pristop, aditivni regresijski model, multiplikativni regresijski model|2014|Slovenski jezik|FDV - Fakulteta za družbene vede|Ljubljana|0|0|2301|373
29168|Vloga dvojnega državljanstva v procesu integracije imigrantov|Kejžar, Barbara|Komac, Miran||2014|Slovenski jezik|FDV - Fakulteta za družbene vede|Ljubljana|0|0|1754|242
