ID|Naslov|Avtor|Mentor|Ključne besede|Leto|Jezik|Organizacija|Kraj|Ogledi|Prenosi
42637|Razvoj modela etičnega managementa sodobnih organizacij|Kuralt, Boštjan|Potočan, Vojko|management, etika, tranzicija, vrednote, delovanje in vedenje managementa|2014|Slovenski jezik|EPF - Ekonomsko-poslovna fakulteta|Maribor|1814|452
47349|Vpliv etične klime in etične kulture na neetično poslovno prakso plačilne nediscipline|Šalamon, Tanja|Belak, Jernej|poslovna etika, etična klima, etična kultura, plačilna disciplina, plačilna nedisciplina|2014|Slovenski jezik|EPF - Ekonomsko-poslovna fakulteta|Maribor|2320|313
47630|POEZIJA SLOVENSKIH PESNIKOV IN PESNIC, ROJENIH PO LETU 1970|Bedrač, David|Borovnik, Silvija|slovenski pesniki in pesnice, rojeni po letu 1970, avtopoetika, najnovejša slovenska poezija, idejne usmeritve, problemi najsodobnejše lirike|2014|Slovenski jezik|FF - Filozofska fakulteta|[Maribor|3376|670
44664|ORGANIZACIJSKI DEJAVNIKI SOCIALNO VARSTVENEGA UKREPA POSVOJITVE OTROK IN NJIHOVA PROTISLOVNOST|Bevc, Viktorija|Ovsenik, Marija|organizacijski dejavniki, posvojitev, korist otroka, priprava na posvojitev, neplodnost para, protislovje posvojitve|2014|Slovenski jezik|FOV - Fakulteta za organizacijske vede|Maribor|1967|432
46823|PRILAGODLJIVI EVOLUCIJSKI ALGORITEM ZA RAZPOREJANJE PROIZVODNJE V DINAMIČNEM OKOLJU|Ogris, Vid|Kofjač, Davorin|evolucijski algoritem, razporejanje proizvodnje, optimizacija, demutacija, selektivna mutacija, prilagodljiva kriterijska funkcija|2014|Slovenski jezik|FOV - Fakulteta za organizacijske vede|Maribor|2052|240
44678|Določanje večrazsežnega podatkovnega modela z uporabo metode večkriterijskega odločanja|Korelič, Igor|Rajkovič, Vladislav|podatkovna skladišča, večrazsežnostni podatkovni model, samodejna gradnja, usmerjenost k profilu uporabnika, večparametrska odločitvena analiza.|2014|Slovenski jezik|FOV - Fakulteta za organizacijske vede|Maribor|2021|340
46361|Managementski model svetovalnega mentorstva in vpliv njegovih aktivnosti na zadovoljstvo zaposlenih in uspešnost podjetja|Cajnko, Petra|Treven, Sonja|coaching, zadovoljstvo zaposlenih, uspešnost podjetja, management, model|2014|Slovenski jezik|EPF - Ekonomsko-poslovna fakulteta|Maribor|1833|666
46840|VREDNOTENJE KAKOVOSTI VEČMODALNIH STORITEV V SODOBNIH TELEKOMUNIKACIJSKIH SISTEMIH|Lovrenčič, Tomaž|Žgank, Andrej|kakovost storitev, večmodalne vsebine, kakovost videa, kakovost govora, procesiranje in analiza slik, analiza avdia, klasifikacija|2014|Slovenski jezik|FERI - Fakulteta za elektrotehniko, računalništvo in informatiko|Maribor|2320|222
46589|Primerjava napovedne vrednosti rezultatov lestvic RISC (Revised Injury Severity Classification) in TRISS (Trauma and Injury Severity Score) na slovenskem vzorcu hudo poškodovanih|Brilej, Drago|Komadina, Radko|hudo poškodovani, vrednotenje, Trauma and Injury Severity Score (TRISS), Revised Injury Severity Classification (RISC), register|2014|Slovenski jezik|MF - Medicinska fakulteta|Maribor|2143|307
46159|Automated and intelligent programming of cnc machine tools : doctoral thesis|Gjelaj, Afrim|Balič, Jože|inteligent CNC programming, intelligent manufacturing, discrete system, automated programming, multiobjective genetic algorithm MOGA|2014|Angleški jezik|FS - Fakulteta za strojništvo|[Maribor|3247|419
46833|Razvoj in uporaba analiznih metod določanja težkih kovin v okoljskih vzorcih z emisijsko spektrometrijo z induktivno skopljeno plazmo|Kavšek, Darja|Brodnjak-Vončina, Darinka|ICP–OES, premog, sedimenti, odpadne tekstilne vode, odpadne industrijske vode, težke kovine, validacija, kemometrijska klasifikacija, kemometrijska karakterizacija, analiza grupiranja, metoda glavnih osi, diskriminantna analiza|2014|Slovenski jezik|FKKT - Fakulteta za kemijo in kemijsko tehnologijo|Maribor|2830|398
43229|MODEL IZVAJANJA PROCESA ZDRAVSTVENE NEGE S POMOČJO EKSPERTNEGA SISTEMA|Benedik, Peter|Rajkovič, Uroš|organiziranje, zdravstvena nega, proces zdravstvene nege, ontologija, priporočilni ekspertni sistem, elektronski zdravstveni zapis, e-dokumentacija.|2014|Slovenski jezik|FOV - Fakulteta za organizacijske vede|Kranj|4110|890
