Naslov,Avtorji,Mentorji,Komentorji,Ključne besede,Leto,Jezik,Organizacija,Dolžina uvoda,Dolžina glavnega dela,Ogledi,Prenosi
"Vloga aktinskih filamentov v delovanju membranskih receptorjev, sklopljenih z G-proteini","Hrovat, Alenka","Vrecl, Milka",,,2009,Slovenski jezik,VF - Veterinarska fakulteta,14,161,2271,296
Vpliv pegilacije analogov TNF-alfa na farmakokinetične lastnosti in toksičnost pri laboratorijskih miših in podganah,"Škrajnar, Špela","Černe, Manica",,,2009,Slovenski jezik,VF - Veterinarska fakulteta,,,2228,346
Opis bioloških in molekularnih značilnosti bakterije Rickettsia sp. izolirane iz klopov Haemaphysalis sulcata,"Gračner, Maja","Duh, Darja",,,2009,Slovenski jezik,BF - Biotehniška fakulteta,10,106,1743,156
Biblična etika varstva narave kot preraščanje nasprotij med antropocentrizmom in ekocentrizmom,"Goršak, Bernard","Kovač, Edvard",,,2009,Slovenski jezik,BF - Biotehniška fakulteta,17,299,2255,255
Dynamic effects of international fragmentation of production,"Burger, Anže","Jaklič, Andreja","Damijan, Jože",Slovenija; panoge dejavnosti; predelovalna industrija; mednarodno poslovanje; teorija podjetja; off-shore; pregledi; podjetje; proizvodnja; poslovni proces; dejavnost; tovarne; mednarodno podjetje; mednarodno sodelovanje; dinamični modeli; dinamična analiza; produktivnost; empirične raziskave; analiza; Slovenia; industries; processing industry; enterprises; production; business process; outsourcing; international cooperation; dynamics; productivity; analysis,2009,Angleški jezik,FDV - Fakulteta za družbene vede,10,270,1854,403
Ekonomska varnost in ekonomska diplomacija,"Udovič, Boštjan","Svetličič, Marjan",,banke; neposredne investicije; ekonomska varnost; diplomacija; zunanja politika; Balkan; disertacije,2009,Slovenski jezik,FDV - Fakulteta za družbene vede,,,3313,382
"Etika skrbi, spol in družina","Humer, Živa","Švab, Alenka",,sociologija družine; družinsko življenje; družinska politika; socialno skrbstvo; otroško varstvo,2009,Slovenski jezik,FDV - Fakulteta za družbene vede,,,2188,710
Predsedniško utemeljevanje ameriških vojaških intervencij v obdobju 1948-2008,"Gorenc, Nina","Clayton, Cornell W.","LeLoup, Lance T.",retorika; analiza diskurza; argumentacija,2009,Angleški jezik,FDV - Fakulteta za družbene vede,,,1868,415
Sonaravni razvoj turizma in rekreacije v visokogorju,"Mrak, Irena","Špes, Metka",,,2009,Slovenski jezik,FF - Filozofska fakulteta,,,3607,741
Konstrukcija prilagojenih IT procesov na osnovi socio-tehničnih značilnosti obravnavane združbe,"Žvanut, Boštjan","Bajec, Marko",,konstrukcija IT procesov; konstruiranje metod; konstruiranje procesov; združbi prilagojeni procesi; računalništvo; IT process construction; method engineering; process engineering; organization-specific process; computer science; doctoral dissertations; theses,2009,Slovenski jezik,FRI - Fakulteta za računalništvo in informatiko,14,160,605,81
Obvladovanje zaupanja v storitveno usmerjenih arhitekturah,"Kovač, Damjan","Trček, Denis",,zaupanje; ugled; varnost; obvladovanje zaupanja; poslovni procesi; storitveno usmerjene arhitekture; spletne storitve; standardizacija; SOA; BPEL; WS-Trust; trust; reputation; security; trust management; e-business; business processes; service-oriented architectures; web services; standardization; SOA; BPEL; WS-Trust; computer science; doctoral dissertations; theses,2009,Slovenski jezik,FRI - Fakulteta za računalništvo in informatiko,12,203,761,110
Model za avtomatizacijo poslovnih procesov v storitveno usmerjenih sistemih s tehnologijami obvladovanja znanja,"Šaša Bastinos, Ana","Krisper, Marjan",,avtomatizacija poslovnih procesov; storitveno usmerjena arhitektura; večkriterijsko odločanje; ontologije; večagentni sistem; računalništvo; disertacije; business process automation; service-oriented architecture; multi-criteria decision making; ontologies; multiagent system; computer science; doctoral dissertations; theses,2009,Slovenski jezik,FRI - Fakulteta za računalništvo in informatiko,,,847,97
Rast v grafih,"Lukšič, Primož","Robič, Borut","Pisanski, Tomaž",rast v grafih; sferična rast; krogelna rast; zaporedje razdaljnih stopenj; DDR-graf; razdaljno uravnotežen graf; razdaljni ostanek grafa; rast v produktih grafov; topološki indeks; računalništvo; disertacije; growth in graphs; spherical growth; ball growth; distance degree sequence; DDR-graph; distance-balanced graph; distance-residual subgraph; growth in product graphs; topological index; computer science; doctoral dissertations; theses,2009,Slovenski jezik,FRI - Fakulteta za računalništvo in informatiko,,,649,77
Argument based machine learning,"Možina, Martin","Bratko, Ivan",,artificial intelligence; machine learning; background knowledge; domain knowledge; argument based machine learning; ABML; CN2; ABCN2; extreme value corection; computer science; doctoral dissertations; theses; umetna inteligenca; strojno učenje; argumentacija; učenje pravil; učenje s predznanjem; domensko znanje; argumentirano strojno učenje; ABML; CN2; ABCN2; korekcija ekstremnih vrednosti; računalništvo; disertacije,2009,Angleški jezik,FRI - Fakulteta za računalništvo in informatiko,12,193,1187,143
Modeliranje nelinearnih dinamičnih sistemov z metodami teorije informacij,"Bratina, Marko","Lotrič, Uroš",,nelinearni dinamični sistemi; teorija informacij; določanje značilk; modeliranje z nevronskimi mrežami; napovedovanje časovnih vrst; kavčukove zmesi; računalništvo; disertacije; nonlinear dynamical system; information theory; feature extraction; neural network modeling; time series forecasting; computer science; doctoral dissertations; theses,2009,Slovenski jezik,FRI - Fakulteta za računalništvo in informatiko,6,100,732,84
"Analiza in napoved pomikov za predore, grajene v premo-karbonskih skrilavcih","Klopčič, Jure","Logar, Janko","Ambrožič, Tomaž",civil enginering; doctoral thrsis; tunnelling; 3D displacement measurements; automatic system for data processing; monitoring data; exploratory tunnel; 3D displacement measurements ahead of the faca; automatic target recognition (ATR); 3D numerical back calculations; extrapolation prediction method; rock mass anisotropy; gradbeništvo; disertacije; gradnja predorov; 3D meritve pomikov; avtomatiziran sistem obdelave podatkov; merski podatki; raziskovalni rov; 3D meritve pomikov pred čelom; avtomatsko prepoznavanje tarč; povratne 3D numerične analize; eksplotacijska metoda napovedovanje pomikov; anizotropija hribinske mase,2009,Angleški jezik,FGG - Fakulteta za gradbeništvo in geodezijo,23,235,5811,903
Auswirkungen der Etablierung des International Food Standards (IFS) in Betrieben der österreichischen Ernährungswirtschaft,"Plank, Roswitha",,,živila; kakovost živil; nadzor nad živili; varnost živil; živilska industrija; trgovina z živili; standardi; ISO 9001; ISO 22000; dobra proizvodna praksa; GMP; Avstrija,2009,Nemški jezik,BF - Biotehniška fakulteta,,,1887,270
"Analiza ravnanja odnosov z odjemalci - CRM (customer relationship management) kot oblika modernega trženja, konceptualni model ključnih dejavnikov uspeha CRM in empirična preverba","Verstovšek, Sintija","Žabkar, Vesna",,trženje; odnosi s strankami; potrošnik; zadovoljstvo; lojalnost; modeli; informacijska tehnologija; kadri; raziskave; analiza; marketing; customer relationship; consumer; satisfaction; loyalty; models; information technology; personnel; research; analysis,2009,Slovenski jezik,EF - Ekonomska fakulteta,6,218,1701,223
The effect of star formation and feedback on the X-ray properties of simulated galaxy clusters,"Fabjan, Dunja","Borgani, Stefano",,jate galaksij; galaxy clusters; star formation; nastanek zvezd,2009,Angleški jezik,FMF - Fakulteta za matematiko in fiziko,,,1861,312
Predstavitve grafov z enotsko razdaljo,"Horvat, Boris","Solina, Franc","Pisanski, Tomaž","teorija grafov; graf z enotsko razdaljo; predstavitev; realizacija; koordinatizacija; degenerirana predstavitev; grafovski produkti; Heawoodov graf; Petersenov graf; posplošeni Petersenovi grafi; I
-grafi; NP poln problem; dilacijski koeficient; algoritem; izomorfizem grafov; graph theory; unit-distance graph; representation; coordinatization; degenerate representation; graph product; Heawood graph; Petersen graph; generalized Petersen graphs; I
-graph; MP-complete problem; dilation coefficient; algorithm; graph isomorphism",2009,Slovenski jezik,FRI - Fakulteta za računalništvo in informatiko,,,736,158
Towards knowledge needs-technology fit model for knowledge management systems,"Baloh, Peter","Desouza, Kevin C.",,knowledge management; knowledge; information systems; information technology; design; models; evaluation; obvladovanje znanja; znanje; informacijski sistemi; informacijska tehnologija; design; modeli; ocene,2009,Angleški jezik,EF - Ekonomska fakulteta,3,199,2133,304
Ocenjevanje učinkovitosti aktivnih politik zaposlovanja,"Južnik, Laura","Malačič, Janez","Masten, Igor",Slovenija; trg delovne sile; zaposlovanje; politika; programi; efektivnost; znanje; izobrazba; Slovenia; labour market; employment; politics; programmes; efficiency; knowledge; education,2009,Slovenski jezik,EF - Ekonomska fakulteta,5,174,1925,327
Proučevanje transkriptoma osteoblastov pri osteoporozi,"Trošt, Zoran","Marc, Janja",,osteoporoza; DNA-mikromreže; kostna gostota; merjenje; gensko izražanje,2009,Slovenski jezik,FFA - Fakulteta za farmacijo,10,115,1231,152
Uporaba mikrokalorimetrije pri vrednotenju stabilnosti zdravilnih učinkovin in farmacevtskih oblik na primeru nekaterih zaviralcev angiotenzinske konvertaze,"Simončič, Zvone","Kmetec, Vojko","Kogej, Ksenija",stabilnost zdravil; analizne metode; izotermna kalorimetrija; ACE inhibitorji; formulacijske študije,2009,Slovenski jezik,FFA - Fakulteta za farmacijo,,,1463,176
Načrtovanje in sinteza hidroksietilaminskih inhibitorjev biosinteze peptidoglikana,"Sova, Matej","Gobec, Stanislav",,bakterije; učinkovine; protibakterijske; encimi; analiza spojin; sinteza; hidroksietilamini,2009,Slovenski jezik,FFA - Fakulteta za farmacijo,,,1434,150
Vrednotenje stroškovne učinkovitosti posegov v zdravstvu,"Rojnik, Klemen","Mrhar, Aleš","Primic-Žakelj, Maja",zdravstvo; stroški; učinkovitost; vrednotenje; dojke; rak (medicina); presejanje; Slovenija,2009,Slovenski jezik,FFA - Fakulteta za farmacijo,,,1570,101
Topical microemulsions containing vitamins C and E: from formulation optimisation to evaluation using reconstructed human epidermis,"Rozman, Branka","Gašperlin, Mirjana",,mikroemulzije; vitamini; sproščanje; stabilnost; vitamin C; terapija; antioksidantna,2009,Angleški jezik,FFA - Fakulteta za farmacijo,,,1030,91
"Načrtovanje, sinteza in vrednotenje novih trinemskih protimikrobnih učinkovin","Plantan, Ivan","Urleb, Uroš",,protimikrobne učinkovine; betalaktamski antibiotiki; bakterijska rezistenca; načrtovanje; sinteza; molekularno modeliranje; disertacije,2009,Slovenski jezik,FFA - Fakulteta za farmacijo,5,133,1485,101
Proučevanje vpliva motenj v presnovi galaktoze in laktazne persistence na razvoj raka jajčnikov,"Prodan Žitnik, Irena","Lukač-Bajalo, Jana",,galaktoza; presnovne motnje; encimska aktivnost; medicinska genetika; mutacije; mleko; mlečni izdelki; laktoza; alaktazija,2009,Slovenski jezik,FFA - Fakulteta za farmacijo,,,1662,182
Dinamični model encima MurD iz E. coli in in silico načrtovanje novih inhibitorjev,"Perdih, Andrej","Šolmajer, Tomaž",,farmacevtska kemija; protibakterijske učinkovine; bakterijska rezistenca; tarče; bakterije; celična stena; peptidoglikan; biosinteza; encimi Mur; ligaze Mur; MurD; encimski inhibitorji; računalniško podprto načrtovanje; molekularno modeliranje; dinamični modeli; Escherichia coli; disertacije,2009,Slovenski jezik,FFA - Fakulteta za farmacijo,,,1356,183
Priprava in karakterizacija mestno specifičnih pegiliranih konjugatov interferona alfa-2b,"Kusterle, Mateja","Štrukelj, Borut","Gaberc-Porekar, Vladka",biološka zdravila; interferon; pegintron; metode; konjugati; analiza; pegililacija interferona alfa,2009,Slovenski jezik,FFA - Fakulteta za farmacijo,14,75,1901,167
Odkrivanje novih inhibitorjev bakterijskih ligaz z virtualnim rešetanjem in sintezo substratnih analogov,"Kovač, Andreja","Gobec, Stanislav",,bakterijska rezistenca; sinteze; protibakaterijske učinkovine; inhibitorji; virtualno rešetanje; sidranje spojin,2009,Slovenski jezik,FFA - Fakulteta za farmacijo,,,1262,119
"Načrtovanje, sinteza in vrednotenje sulfonohidrazidnih inhibitorjev Mur ligaz","Frlan, Rok","Pečar, Slavko","Obreza, Aleš",bakterije; učinkovine; protibakterijske; rezistenca; sulfonohidradini derivati; sinteza; sintezne spojine; inhibitorji Mur ligaz,2009,Slovenski jezik,FFA - Fakulteta za farmacijo,,,1927,121
Vloga serinskih proteaz ter prostaglandinskega receptorja EP4 pri modulaciji apoptoze limfocitov B,"Čelhar Kenanova, Teja","Mlinarič-Raščan, Irena",,homeostaza limfocitov B; apoptoza; receptor EP4; inhibitorji serinskih proteaz; imunski odziv,2009,Slovenski jezik,FFA - Fakulteta za farmacijo,11,142,1368,152
Vezava glagolov umevanja v slovanskih jezikih,"Grošelj, Robert","Šivic-Dular, Alenka","Žele, Andreja",slovanski jeziki; glagol; vezljivost; vezava; skladnja; zgodovinska skladnja; Slavic languages; verbs; valency; syntax; historical syntax,2009,Slovenski jezik,FF - Filozofska fakulteta,,,3825,607
Korpus usvajanja slovenščine kot tujega jezika,"Stritar Kučuk, Mojca","Stabej, Marko",,slovenščina; slovenščina kot drugi/tuji jeyik; slovenščina kot tuji jezik; uporabno jezikoslovje; korpusno jezikosovje; korpusi; Korpus usvajanja slovenščine kot tujega jezika; KUST; doktorsko delo,2009,Slovenski jezik,FF - Filozofska fakulteta,,,3858,465
Besedilnost med formalnimi lastnostmi in kognitivnimi procesi,"Ferbežar, Ina","Stabej, Marko",,slovenščina; sociolingvistika; sporazumevanje; jezikovna zmožnost; kognitivna lingvistika,2009,Slovenski jezik,FF - Filozofska fakulteta,,,3258,733
Prispevek prevodov temeljnih pogodb Evropske unije k slovenskemu pravnemu izrazju,"Jemec Tomazin, Mateja","Kržišnik, Erika",,slovenščina; terminologija; pravna terminologija; glagol; prevajanje; pravo; Evropska unija; evropejščina; doktorsko delo,2009,Slovenski jezik,FF - Filozofska fakulteta,,,2572,476
Novi načini saditve krompirja in oblikovanja grebenov,"Vučajnk, Filip","Bernik, Rajko",,poljščine; krompir; kmetijski stroji; osipalniki; fizika tal; mehanika tal; sajenje; globina saditve; grebeni; oblika grebenov; gomolji; položaj gomoljev; zeleni gomolji; field crops; potatoes; agricultural machinery; ridgers; soil physics; soil mechanics; planting; planting depth; ridge form; position of tubers; green tubers,2009,Slovenski jezik,BF - Biotehniška fakulteta,35,302,2853,300
Spremljanje kazalnikov oksidativnega stresa pri rastlinah kot tretja raven ekološko informacijskega sistema onesnaženosti zraka,"Kopušar, Nataša","Batič, Franc","Ribarič-Lasnik, Cvetka",kmetijske rastline; plazeča detelja; Trifolium repens; fižol; Phaseolus vulgare; tobak; Nicotiana tabacum; bioindikacija; oksidativni stres; rastlinski stres; ozon; ozonske poškodbe; onesnaževalci zraka; fotooksidanti; dušikovi oksidi; žveplov dioksid; rastlinska barvila; askorbinska kislina; alfa-tokoferol; encimi; superoksid dizmutaza; pridelek; crops; white clover; Trifolium repens; kidney bean; Phaseolus vulgare; tobak; Nicotiana tabacum; bioindicators; stress; oxidative stress; ozone injury; ozone; air pollutants; nitric oxides; sulphur dioxide; plant pigments; ascorbic acid; alfa-tocopherol; superoxide dismutase; yields,2009,Slovenski jezik,BF - Biotehniška fakulteta,20,168,2014,290
Elementna in izotopska sestava medu iz različnih geografskih regij Slovenije,"Kropf, Urška","Golob, Terezija","Stibilj, Vekoslava",honeys; chemical elements; total reflection X-ray spectroscopy; TXRF; instrumental neutron activation analysis; INAA; isotope ratio; [delta]13C/[delta]15N; 13C/12C; 15N/14N; IRMS; natural-geographical regions; geographical origin; Slovenia; physico-chemical parameters; electrical conductivity; total ash; pH; colour; free and total acids; proline; proteins; diastase number; rotation; correlations; med; kemijski elementi; rentgenska fluorescenčna spektroskopija s popolnim odbojem; TXRF; instrumentalna nevtronska aktivacijska analiza; INAA; izotopsko razmerje; [delta]13C/[delta]15N; 13C/12C; 15N/14N; IRMS; naravnogeografske pokrajine; geografsko poreklo; Slovenija; fizikalnokemijski parametri; električna prevodnost; pepel; pH; barva; proste in skupne kisline; prolin; beljakovine; diastazno število; rotacija; korelacije,2009,Angleški jezik,BF - Biotehniška fakulteta,18,200,1625,230
